PlayerID,Name,Age,Team,Nacionalidad,Position,PreferredFoot,Matches,Minutes,Goals,Assists,Shots,Passes,PassAccuracy,Tackles,Interceptions,Dribbles,Fouls,YellowCards,RedCards,ValueMercado,Wages,Height,Weight,SprintSpeed,Stamina,OverallRating,Potential,Recomendado_para_Scouting,stat_1,stat_2,stat_3,stat_4,stat_5,stat_6,stat_7,stat_8,stat_9,stat_10,stat_11,stat_12,stat_13,stat_14,stat_15,stat_16,stat_17,stat_18,stat_19,stat_20,stat_21,stat_22,stat_23,stat_24,stat_25,stat_26,stat_27,stat_28,stat_29,stat_30,stat_31,stat_32,stat_33,stat_34,stat_35,stat_36,stat_37,stat_38,stat_39,stat_40,stat_41,stat_42,stat_43,stat_44,stat_45,stat_46,stat_47,stat_48,stat_49,stat_50,stat_51,stat_52,stat_53,stat_54,stat_55,stat_56,stat_57,stat_58,stat_59,stat_60,stat_61,stat_62,stat_63,stat_64,stat_65,stat_66,stat_67,stat_68,stat_69,stat_70,stat_71
P100010,Player_0011,30,Laguna FC,México,GK,Izquierdo,14,1246,0.0,0.0,34,1233,77.79556743206844,19,9,10,9,0,0,1303.0,30.59460555559864,176.18524690193843,84.86949537100828,75.19139368405597,58.0800366281199,61,64,Sí,57.81,71.07,25.92,57.56,17.69,60.61,64.55,66.42,47.58,73.76,84.62,45.18,43.23,52.24,42.83,40.64,41.95,75.74,61.58,42.79,13.17,26.83,57.55,18.18,54.39,34.02,51.38,50.96,51.81,44.08,43.59,39.19,57.26,62.08,31.72,49.23,52.95,52.76,52.5,43.97,54.19,59.27,52.12,57.59,64.86,22.24,64.15,55.14,33.33,62.04,44.03,46.07,42.38,54.54,38.22,63.52,47.92,44.54,61.29,45.21,64.22,64.69,29.98,66.64,28.07,67.57,80.43,63.12,17.65,65.95,83.69
P100011,Player_0012,23,Universidad A,México,MID,Izquierdo,21,1533,4.0,1.0,26,989,89.56307751666347,20,15,22,7,1,0,,2.2368678366083876,171.07260304400765,82.52616950390572,62.140100851693525,69.75366850002976,72,81,Sí,35.47,41.9,57.7,64.23,40.07,37.66,47.74,43.08,67.28,34.97,51.03,88.19,56.2,58.69,67.41,43.06,33.78,52.65,53.98,25.73,55.63,66.05,36.31,56.53,63.38,58.8,60.22,46.33,33.09,43.29,41.21,48.8,66.4,30.32,52.16,34.05,38.9,58.38,32.15,61.01,29.72,60.0,26.76,40.73,78.45,75.63,43.81,55.85,68.06,60.22,45.9,38.77,63.02,66.96,75.74,24.69,31.2,67.43,26.73,68.58,46.78,42.19,53.08,29.82,62.36,75.34,63.06,46.3,26.93,27.51,30.06
P100012,Player_0013,24,Independiente,Uruguay,GK,Derecho,18,1710,,1.0,21,1034,59.315418206666976,24,12,12,5,0,0,244.0,6.157676968987236,169.45777835948957,69.25054459645376,80.48058475550282,72.39163904361858,69,70,No,48.56,62.54,50.47,53.77,49.98,44.23,56.96,43.42,67.49,58.53,58.99,42.39,46.45,32.18,44.7,34.45,69.7,50.76,52.56,46.62,52.96,86.97,45.5,40.24,57.95,12.11,50.96,44.42,35.12,57.62,50.81,22.96,40.3,6.68,54.4,54.25,38.1,58.1,30.76,35.5,56.26,39.67,49.06,41.55,43.84,44.49,39.4,54.54,40.58,50.24,39.07,26.99,63.69,57.49,84.33,34.34,46.87,48.07,64.84,42.39,32.43,68.12,45.25,63.18,61.43,49.55,47.39,44.13,49.77,62.95,38.05
P100013,Player_0014,25,City Club,España,GK,Derecho,16,1280,0.0,0.0,17,664,64.0574053461314,14,14,17,9,0,1,401.0,8.069057262124584,182.117399544803,79.06934599669708,50.546291429902816,71.02691811227973,55,55,No,45.86,50.48,38.7,56.9,39.83,80.2,52.05,44.52,52.77,29.79,35.43,68.01,40.15,34.3,58.05,67.79,60.78,64.94,38.65,28.67,72.52,45.16,46.24,69.92,58.34,56.84,82.48,40.35,63.92,50.86,54.03,72.93,57.62,58.07,66.09,44.53,37.41,34.33,20.5,80.84,33.45,46.68,45.85,54.61,62.24,62.91,41.25,47.49,54.24,46.27,74.11,57.36,61.02,59.94,67.6,52.72,30.55,56.0,40.23,42.07,58.8,68.57,50.32,54.63,75.53,53.61,89.03,58.48,23.59,61.3,55.72
P100014,Player_0015,30,Universidad A,Colombia,MID,Izquierdo,15,1125,4.0,5.0,31,1201,91.11152661875352,25,12,17,8,1,0,5569.0,95.4242768803008,175.08664198088903,65.55374349879729,77.84387999616457,69.44118642329468,82,86,No,51.22,73.13,80.09,80.92,68.13,65.36,58.89,61.68,41.73,37.73,49.95,47.45,43.2,60.45,64.33,51.33,72.16,32.87,47.1,39.25,22.0,48.76,48.17,72.7,59.46,34.64,77.81,68.32,58.73,46.6,35.61,44.42,66.33,78.27,73.15,42.67,33.21,52.11,23.47,54.85,47.79,43.01,26.08,57.7,42.01,32.45,6.92,49.59,76.58,74.92,43.14,40.97,57.03,35.02,54.53,61.49,68.4,48.5,46.94,36.83,37.6,46.6,55.51,63.7,37.95,72.39,45.93,49.68,38.79,13.64,63.26
P100015,Player_0016,27,Real Verde,Brasil,MID,Izquierdo,29,2117,4.0,4.0,22,915,72.1232673856156,25,10,8,9,1,0,179.0,2.235875438114301,187.78058495791134,75.4561050909684,64.82207489609563,71.41118190097275,62,68,No,59.04,51.93,65.99,61.93,62.13,35.39,56.89,73.74,55.7,77.43,80.28,45.97,39.55,38.58,27.26,42.22,68.11,16.94,34.44,48.09,36.84,42.09,42.32,46.14,39.06,37.83,64.01,65.74,29.29,8.61,65.95,31.57,53.19,26.51,69.47,88.16,52.74,48.59,45.17,61.73,58.52,65.05,40.58,55.1,41.86,34.13,49.38,36.16,67.61,37.07,55.45,40.95,54.16,42.14,31.14,57.26,46.47,54.29,43.57,30.08,66.25,61.05,41.5,51.05,65.63,43.14,45.47,53.65,43.11,62.86,47.47
P100016,Player_0017,21,City Club,España,GK,Derecho,21,1701,120.0,2.0,13,1182,81.75647335482341,12,14,13,10,0,0,147.0,3.7014770718433456,173.99392063051155,64.43194803307864,68.09377231440334,61.86262008584136,67,67,No,71.18,46.67,56.33,43.47,61.26,52.94,54.75,63.33,42.1,59.89,44.2,55.09,40.31,36.34,51.38,21.72,45.56,25.9,61.69,65.75,37.04,56.42,63.49,63.54,53.22,61.01,40.26,51.25,42.99,38.99,50.54,55.21,67.45,53.98,59.63,59.8,90.31,22.85,39.68,72.11,44.72,63.29,53.45,81.58,33.3,68.33,76.24,34.78,61.74,35.52,50.45,46.15,13.96,56.36,52.15,72.19,59.17,84.36,51.61,48.42,47.23,43.41,16.88,46.7,18.98,56.78,31.4,36.59,39.96,46.93,50.1
P100017,Player_0018,29,Porto Azul,Uruguay,DEF,Izquierdo,21,1428,1.0,3.0,30,826,,26,7,12,6,2,0,198.0,7.249113447666197,,83.68474941126537,71.54716626529392,63.81383320395423,75,84,No,51.71,67.02,37.81,76.73,34.02,62.13,54.58,50.83,88.2,45.48,45.24,69.97,61.43,69.23,51.75,54.75,78.51,37.46,48.46,61.97,47.06,41.45,59.28,70.04,47.89,47.47,40.28,45.56,66.25,51.22,37.93,53.94,65.77,41.57,30.07,82.86,29.32,44.61,53.48,45.91,48.88,58.65,14.12,31.0,50.66,43.94,51.94,53.41,18.26,69.1,42.53,37.02,53.13,51.61,67.95,54.08,67.37,35.93,52.13,33.28,51.47,48.29,47.64,47.77,61.05,25.89,36.5,49.39,32.32,50.69,49.24
P100018,Player_0019,19,Marítimo,España,DEF,Izquierdo,20,1540,2.0,2.0,22,564,79.46640169683994,20,14,13,6,1,0,123.0,3.4146952460748388,176.5629903595833,93.67330864101632,72.33489409600011,80.99464971148245,83,87,No,66.91,39.59,56.82,56.83,61.41,74.97,73.43,41.08,18.53,39.82,51.14,44.58,79.52,50.28,59.81,53.26,44.8,21.13,48.82,98.82,31.33,22.78,79.05,61.13,52.81,70.44,37.53,48.4,64.33,81.66,32.47,69.21,55.73,52.45,49.88,29.23,64.45,38.27,33.8,63.28,61.84,51.19,66.19,71.39,69.62,42.08,65.21,53.17,75.89,48.14,44.65,40.79,52.84,57.0,57.29,55.24,60.07,46.66,36.91,35.6,64.63,57.05,22.16,66.45,78.21,39.26,55.04,42.9,59.42,32.51,48.93
P100019,Player_0020,28,Rangers,Uruguay,GK,Izquierdo,16,992,0.0,2.0,17,1370,83.08334424167381,18,6,15,10,1,0,116.0,3.4646667618752724,173.13700808237658,71.72574049509517,65.80729281652326,73.52354872033722,61,61,No,66.82,40.61,50.23,64.33,34.51,37.12,66.88,45.91,38.34,60.93,42.68,65.41,40.04,47.61,64.17,46.61,61.34,49.02,79.73,73.53,30.08,57.83,37.75,52.87,51.03,34.17,65.88,53.05,45.73,43.43,52.1,56.12,48.13,7.51,50.25,28.38,46.86,28.93,28.75,68.53,45.2,44.05,57.24,44.44,81.56,45.9,55.48,64.56,74.03,38.87,43.73,69.12,62.15,66.13,29.47,73.22,38.58,52.88,47.78,36.82,28.81,23.84,51.79,27.12,32.99,46.73,10.42,61.68,13.85,48.84,50.23
P100020,Player_0021,27,Marítimo,España,GK,Derecho,20,1580,0.0,0.0,16,987,79.85318412387187,12,9,14,13,0,0,1209.0,55.58765407872948,180.18448718456477,76.19945336050714,65.04052650076083,96.07377583931219,69,72,No,43.36,58.06,50.77,46.91,40.25,40.07,41.03,55.08,35.09,55.9,71.19,54.89,44.46,30.53,73.67,32.45,62.73,59.58,46.45,46.06,22.46,54.95,59.3,33.66,47.66,50.57,58.77,50.06,25.61,42.05,53.37,62.62,40.74,82.81,21.58,41.54,48.75,46.99,31.52,56.72,55.57,50.72,54.98,43.64,25.74,39.25,52.36,52.44,50.62,58.23,41.28,50.4,58.58,48.73,31.35,35.58,62.46,70.89,67.63,53.48,31.95,49.9,73.43,59.28,46.89,59.43,30.96,39.56,33.74,57.04,60.71
P100021,Player_0022,24,Independiente,Francia,DEF,Izquierdo,22,1496,0.0,3.0,20,738,77.32349600684954,17,11,18,10,0,0,205.0,8.985966313771735,187.9417985270937,70.72227513751484,58.65033169962021,74.13645881512471,61,67,No,34.55,51.38,45.25,28.91,36.03,48.37,65.51,40.21,68.2,50.95,69.66,40.93,49.27,55.53,47.31,64.3,16.89,86.34,62.87,47.4,41.72,37.0,59.68,64.92,47.56,66.6,36.39,33.74,77.2,58.87,70.95,37.19,36.15,44.62,37.64,60.58,38.73,32.42,52.13,30.65,23.01,52.0,23.76,61.63,29.07,16.39,45.59,52.17,57.37,52.58,34.11,60.7,64.4,31.91,47.28,45.88,53.31,46.93,48.98,59.63,33.29,61.06,67.12,74.51,17.85,47.26,20.52,13.47,52.16,44.01,54.5
P100022,Player_0023,26,Marítimo,Perú,DEF,Izquierdo,25,2075,2.0,1.0,24,1374,76.09645162122341,24,9,20,10,1,0,527.0,16.839940659830663,170.98269647875873,66.18565441664086,79.99824561122885,56.8490465704435,77,81,No,36.97,41.96,24.39,33.25,68.54,47.66,41.78,52.4,57.53,66.76,71.73,44.6,30.11,43.8,53.9,35.54,35.64,55.16,49.27,50.49,38.62,46.54,36.14,63.35,65.53,22.31,36.06,27.55,40.25,48.75,28.26,36.17,34.94,53.11,51.04,39.17,52.65,41.8,45.93,75.1,70.11,30.51,62.45,62.17,32.78,62.28,73.07,33.16,36.24,65.26,54.07,58.27,55.11,55.86,30.1,65.71,67.54,46.56,49.35,27.03,57.71,58.58,49.07,66.87,44.99,58.47,34.71,49.65,47.38,53.38,44.46
P100023,Player_0024,24,Atlético Norte,Uruguay,MID,Izquierdo,17,1156,4.0,4.0,35,1247,70.21507711822943,16,11,13,10,0,0,61.0,1.4240005652308654,175.0572341434686,85.90093621290694,72.64114092631259,80.94367887212374,67,68,No,69.08,58.07,52.76,42.81,23.4,39.64,50.06,61.9,49.75,53.78,44.36,76.24,34.73,39.51,42.61,58.14,34.42,52.04,52.47,39.58,54.95,34.88,33.24,51.49,25.1,17.83,57.99,65.73,43.0,39.98,65.08,32.82,29.55,60.61,50.14,65.97,17.9,28.99,50.21,56.27,62.7,52.62,52.47,44.16,73.86,33.45,55.39,35.18,58.02,34.44,61.16,51.68,76.17,45.78,56.37,38.31,45.68,51.59,27.09,28.74,59.0,47.81,41.11,38.95,39.52,51.69,56.68,18.62,71.19,70.13,15.04
P100024,Player_0025,29,Independiente,Colombia,MID,Derecho,15,1080,3.0,,24,1316,70.03347684167817,18,7,14,7,1,0,773.0,33.58275938316813,180.53009425863127,77.70677333537273,53.313473128613694,70.131304031496,66,68,No,71.45,44.57,68.23,45.11,49.84,76.36,33.9,29.93,48.69,59.95,56.95,55.41,50.51,61.8,6.29,38.74,48.6,60.57,72.35,36.72,71.86,43.21,48.05,58.72,46.95,66.65,43.93,44.16,65.78,38.55,53.73,25.09,77.29,68.1,91.25,70.08,33.06,60.03,36.23,73.67,33.48,32.76,25.85,42.67,39.66,31.08,79.85,57.95,56.18,73.84,53.84,38.77,24.5,37.92,72.58,31.17,55.3,65.51,54.28,55.98,59.83,55.69,74.14,34.4,53.61,22.73,18.89,48.77,58.15,74.46,86.3
P100025,Player_0026,30,Atlético Norte,México,FWD,Derecho,16,1456,6.0,,35,1218,74.31938996693201,17,14,16,12,4,0,377.0,15.052613393696603,180.5802058038414,77.52580213548394,69.22130545069854,66.96210415896063,77,81,No,41.04,59.33,69.93,55.8,66.36,80.18,65.36,53.74,65.68,52.17,50.36,44.73,73.45,37.72,72.99,57.5,29.01,55.51,18.5,59.38,63.28,41.11,51.85,79.31,42.41,34.12,72.22,79.44,50.06,65.17,70.12,38.86,42.72,68.46,75.28,58.44,36.8,79.81,42.04,44.97,55.14,73.31,62.81,56.22,56.95,50.65,58.37,12.06,45.55,53.62,32.73,55.79,46.93,76.33,73.6,43.01,47.74,48.89,43.23,52.93,38.63,33.04,59.34,59.44,37.94,63.43,40.53,53.8,62.31,49.5,56.82
P100026,Player_0027,22,Rangers,Argentina,DEF,Derecho,12,792,0.0,0.0,20,941,64.3822938713599,24,8,10,6,2,0,253.0,3.3672967764560817,164.57330279647346,73.79916622731596,80.81622780944572,74.82187407430428,69,76,Sí,34.05,33.8,33.11,47.59,65.54,49.39,52.84,35.05,64.75,32.82,42.43,59.45,19.41,52.61,34.41,50.25,44.72,81.59,44.1,77.64,58.8,37.98,54.96,45.43,53.63,39.29,75.35,63.88,50.48,75.94,51.11,66.46,50.57,55.91,48.78,51.43,52.56,39.95,43.98,46.75,53.45,49.54,67.6,62.71,47.06,70.73,78.1,19.34,63.98,39.61,62.01,68.57,36.85,22.22,62.53,52.03,24.97,87.94,59.37,60.05,70.49,41.29,51.96,30.21,40.88,55.78,25.02,40.46,36.08,52.13,58.62
P100027,Player_0028,27,Marítimo,Portugal,GK,Izquierdo,21,1596,0.0,1.0,23,1299,87.04786778508169,16,10,10,14,0,0,854.0,27.95876093303123,,79.84708438365816,79.02169606555904,73.78590517392803,56,58,No,34.14,73.01,52.07,39.46,31.93,57.58,52.94,60.43,28.07,32.42,67.2,54.97,58.0,35.56,35.29,64.87,65.58,33.68,30.81,48.37,38.01,37.7,31.23,42.97,32.68,33.57,54.48,49.17,57.27,25.26,50.15,81.13,44.42,62.37,62.24,62.98,52.5,58.49,60.49,59.53,33.24,24.39,26.7,45.95,58.91,33.43,63.86,42.47,42.61,37.46,21.73,53.44,75.69,49.06,22.24,61.71,25.63,31.86,46.42,51.84,34.87,45.84,60.73,62.78,68.77,78.64,62.15,46.75,62.89,57.0,57.6
P100028,Player_0029,25,Marítimo,Portugal,FWD,Izquierdo,19,1672,11.0,4.0,36,726,78.18663606917741,21,12,10,8,1,0,252.0,5.299634636768116,174.2668668660049,76.80558510249219,84.69339704687523,57.68717612361946,66,71,No,56.12,56.8,35.27,50.88,56.7,44.86,52.56,35.56,46.9,59.15,52.35,41.2,53.36,60.72,19.25,67.39,44.96,56.38,67.96,29.42,39.36,45.67,38.24,76.02,37.15,41.67,53.07,31.97,44.06,54.76,45.01,48.6,42.06,27.28,54.82,76.32,50.28,53.38,60.39,30.96,75.54,53.03,74.48,39.0,77.27,61.63,58.3,53.51,46.27,68.01,52.11,20.49,33.24,47.21,54.65,49.15,68.28,20.73,52.15,22.73,61.4,48.58,56.29,37.04,69.19,65.63,58.75,48.06,58.7,39.4,62.83
P100029,Player_0030,31,Porto Azul,Chile,GK,Izquierdo,23,1564,0.0,1.0,17,1321,68.70572924870109,15,5,9,5,3,0,303.0,5.835479590835413,173.8426777958579,74.15022804926392,70.66784900415881,66.80024911592479,65,74,Sí,48.78,33.51,37.82,35.44,71.19,48.2,50.24,50.87,39.26,73.46,56.17,50.59,33.42,32.57,45.37,39.5,33.99,44.44,46.75,52.13,42.44,34.89,35.41,68.19,31.22,55.45,57.79,48.18,76.52,57.53,77.64,40.23,40.49,57.91,46.08,75.28,55.13,34.33,23.95,48.83,48.66,54.71,68.16,66.19,41.32,30.59,31.49,38.95,44.5,54.58,37.99,54.21,55.43,52.15,33.07,57.02,81.22,53.69,5.7,68.61,39.46,83.99,51.75,24.73,19.03,73.1,66.59,83.39,50.16,49.15,44.26
P100030,Player_0031,22,Real Verde,Argentina,MID,Izquierdo,13,923,0.0,2.0,16,882,82.69066380462509,13,14,17,11,0,0,271.0,9.279007125217916,172.07204323712244,84.99695124237333,76.23479203124266,71.60980480622456,64,72,No,19.61,67.93,57.17,49.07,68.43,60.34,66.6,49.11,76.84,67.5,57.64,68.84,43.71,32.49,54.82,49.14,47.03,68.24,52.51,53.95,45.09,63.22,60.53,63.1,42.54,69.56,77.58,62.63,37.86,37.97,44.37,41.53,48.93,59.49,54.35,53.03,46.38,48.89,61.95,19.82,49.83,54.32,61.75,34.85,34.06,58.76,21.43,69.98,53.4,73.38,33.69,43.45,13.88,38.06,47.24,20.56,44.08,20.19,46.14,67.21,49.48,74.87,61.79,70.22,38.53,38.16,55.18,26.33,57.07,45.14,69.95
P100031,Player_0032,27,Atlético Norte,Perú,GK,Izquierdo,24,1944,0.0,0.0,21,1329,70.14683943859822,17,11,8,10,2,0,139.0,6.437009008466971,173.10477254520637,84.29966629273845,70.37520452552168,78.96985522343057,70,78,No,52.63,42.28,63.07,51.44,55.25,53.05,57.45,35.32,28.23,71.51,53.74,61.56,23.6,66.0,42.18,37.91,49.05,35.33,49.97,47.95,65.91,72.7,72.22,16.03,35.97,15.88,32.1,40.26,56.16,42.2,42.62,52.73,24.36,37.42,42.45,46.96,51.15,72.51,63.63,38.46,46.08,45.06,42.29,54.09,22.1,63.21,75.4,45.95,45.66,52.36,65.29,45.14,64.01,57.33,85.42,45.07,20.36,28.51,50.18,65.42,40.21,46.54,60.27,35.52,40.83,32.48,67.67,73.13,26.31,47.87,71.11
